person_id,window_id,time_start,time_end,mtm_code,raw_action,confidence,step_count
0,0,0.0,8.96,GRASP + HOLD OBJECT,grasp_hold,0.72,0
0,14,8.4,9.56,GET + HOLD OBJECT,reach_get,0.721,0
0,15,9.0,10.16,HOLD + PUT OBJECT,hold_put,0.7,0
0,16,9.6,10.76,IDLE,idle,0.5,0
0,17,10.2,11.36,GRASP + HOLD OBJECT,grasp_hold,0.72,0
1,0,10.0,11.36,GET + HOLD OBJECT,reach_get,0.715,0
0,18,10.8,14.96,GRASP + HOLD OBJECT,grasp_hold,0.72,0
1,1,11.24,14.96,GRASP + PLACE OBJECT,grasp_place,0.68,0
0,24,14.4,16.76,GRASP + HOLD OBJECT,grasp_hold,0.72,0
1,4,15.6,16.76,GET + HOLD OBJECT,reach_get,0.58,0
0,27,16.2,17.36,GRASP + HOLD OBJECT,grasp_hold,0.72,0
1,5,16.2,17.36,IDLE,idle,0.5,0
0,28,16.8,17.96,GRASP + HOLD OBJECT,grasp_hold,0.72,0
1,6,16.8,17.96,GET + HOLD OBJECT,reach_get,0.58,0
0,29,17.4,18.56,GRASP + HOLD OBJECT,grasp_hold,0.72,0
1,7,17.4,18.56,IDLE,idle,0.5,0
0,30,18.0,19.16,GRASP + HOLD OBJECT,grasp_hold,0.72,0
1,8,17.84,19.16,WALK 1-4 STEPS,walk_1_4,0.8,2
0,31,18.6,20.36,GRASP + PLACE OBJECT,grasp_place,0.68,0
0,33,19.8,20.96,GRASP + HOLD OBJECT,grasp_hold,0.72,0
0,34,20.4,22.16,HOLD + PUT OBJECT,hold_put,0.7,0
0,36,21.6,23.36,GRASP + PLACE OBJECT,grasp_place,0.68,0
0,38,22.8,23.96,IDLE,idle,0.5,0
0,39,23.4,24.56,GRASP + PLACE OBJECT,grasp_place,0.68,0
0,40,24.0,25.76,GET + HOLD OBJECT,reach_get,0.716,0
0,42,25.2,26.36,IDLE,idle,0.5,0
0,43,25.8,26.96,GRASP + HOLD OBJECT,grasp_hold,0.72,0
1,9,19.08,26.96,IDLE,idle,0.5,0
0,44,26.4,27.56,GRASP + HOLD OBJECT,grasp_hold,0.72,0
1,10,19.64,27.56,WALK 1-4 STEPS,walk_1_4,0.8,2
0,45,27.0,28.16,GRASP + HOLD OBJECT,grasp_hold,0.72,0
1,11,26.96,28.16,IDLE,idle,0.5,0
0,46,27.6,28.76,GRASP + HOLD OBJECT,grasp_hold,0.72,0
1,12,27.6,28.76,GET + HOLD OBJECT,reach_get,0.58,0
0,47,28.2,29.36,GRASP + HOLD OBJECT,grasp_hold,0.72,0
1,13,28.2,29.36,GET + HOLD OBJECT,reach_get,0.58,0
0,48,28.8,29.96,GRASP + HOLD OBJECT,grasp_hold,0.72,0
1,14,28.8,29.96,GET + HOLD OBJECT,reach_get,0.58,0
0,49,29.4,31.16,GRASP + HOLD OBJECT,grasp_hold,0.72,0
1,16,29.8,31.16,GET + HOLD OBJECT,reach_get,0.58,0
0,51,30.6,31.76,GRASP + HOLD OBJECT,grasp_hold,0.72,0
0,52,31.2,32.36,GRASP + PLACE OBJECT,grasp_place,0.68,0
0,53,31.36,32.52,GRASP + HOLD OBJECT,grasp_hold,0.72,0
1,17,30.0,32.52,GET + HOLD OBJECT,reach_get,0.58,0
